comment_Text,Have_Sarcasm,Sarcasm_Type
"Just plain bad. The premise is unique, so terrible trying to be ""not like the other games"". No ads, so of course it's awful because I can't watch my precious ads. It provides a challenge, which is completely heinous because I need everything handed to me. One good thing about it though is that there's no way to get back to the menu when you play. But that doesn't take away from the absolute awfulness of this game. DO NOT PLAY!!!",Yes,Irony
"I barely write reviews, but I had to on this one because it was absolutely AWFUL. There are no ads which is absolutely terrible I like my games all ad and no game. The gameplay is absolutely terrible, it's easy to get and very fun. The menu is easy to navigate which is uncalled for and extremely frustrating. If I could I would rate it 0 stars.",Yes,Irony
"It was a mess. My eyes hurt after playing the game because eye-straining colors with poor interface. It is not enjoyable to begin, it greatly lacks in background design and does not even have an effects. It did not even have an instruction or gameplay leaving me clueless on how the game works. Overall, it was a total eyesore. But I am sure that it will improve just a bit more motivation to plan.",Yes,Humor
"The game itself isn't terrable, but extremely repetitive with what you do. Tap on the colour and the word that says the colour on it, but avoid the wrong word on the wrong colour. Simple, to the point, and repetitive with what you do, even without anything to attempt to spice it up a little bit. What you see is what you get, and I got a game that is the equivalent of putting a toothpick under your toenail and kicking a wall. Hell even thats more eventful than this terrable arcade game.",No,None
"I like games with ads, but this one doesn't even have any ad, like no ads whatsoever. I played it and I didn't get an ad, like I need ads what are basically 30 secs long and you can't skip. The gameplay is very hard, even my fish drowned after seeing it. It's hard and no one can beat it. Game devs please add more ads and make us beat the game. (This was a joke, no offense to the devs in any way)",No,None
"Not enough ads. This is driving me insane! Like, you want to make money from this, right? There's no popup ads or forced ads. All there is is some lousy ads at the bottom of the screen. Like get this, they still let you enjoy a full gaming experience while the ads are displayed. Ugh! One star! Terrible!",Yes,Irony
I am disappointed. The game does not have ads. Ads are the whole point of games. They are what stops you in the middle of a game. Ads are enjoyable to watch. Ads are awesome. Another bad thing about this horrible app is its gameplay. It was tremendously hard! I want to win a game instantly. WORST APP EVER! If I could give this trash 0 stars I definitely would.,Yes,Humor
"I would rate this 0 stars if I could! I has no ads! How can I enjoy something if it has no ads! It also has an enjoyable game, which sucks because I like it! I hate liking things! I also hate how it has one of the most creative goals. That doesn't irritate me, which irritates me, because I like being irritated, but not in this scenario! 1 star!!!",Yes,Humor
"As soon as I installed this app, my phone broke in half and is now two separate pieces. The touchscreen and keyboard apparently still work, but the camera doesnt. Thats what Id call cellular division. It also has way too many ads. Very annoying. Oh and also it made my right foot a bit laggy. It's just too bad for existance. Now my shower is also laggy. For some reason, my middle finger is negatively laggy, which means it moves before I actually decide to move it. Some people got mad at me. AAAAA",No,None
"The app is so-so, the gameplay is not that good, and not that bad, it gets harder the longer you play it but it is also very forgiving.The moving boxes sometimes doesn't register the tap or it sometimes register 2 times which is a minor problem given that you can skip the tapping. Giving it a one star because it's what the devs want. Honest review : 1.5 stars, it doesn't stand out and it gets boring very fast(it's addicting tho). It needs a variety of customizations for it to reach 3-4 stars.",No,None
