comment_Text,Have_Sarcasm,Sarcasm_Type,
"Just plain bad. The premise is unique, so terrible trying to be ""not like the other games"". No ads, so of course it's awful because I can't watch my precious ads. It provides a challenge, which is completely heinous because I need everything handed to me. One good thing about it though is that there's no way to get back to the menu when you play. But that doesn't take away from the absolute awfulness of this game. DO NOT PLAY!!!",Yes,Irony,
"I barely write reviews, but I had to on this one because it was absolutely AWFUL. There are no ads which is absolutely terrible I like my games all ad and no game. The gameplay is absolutely terrible, it's easy to get and very fun. The menu is easy to navigate which is uncalled for and extremely frustrating. If I could I would rate it 0 stars.",Yes,Irony,
"It was a mess. My eyes hurt after playing the game because eye-straining colors with poor interface. It is not enjoyable to begin, it greatly lacks in background design and does not even have an effects. It did not even have an instruction or gameplay leaving me clueless on how the game works. Overall, it was a total eyesore. But I am sure that it will improve just a bit more motivation to plan.",Yes,Humor,
"Not enough ads. This is driving me insane! Like, you want to make money from this, right? There's no popup ads or forced ads. All there is is some lousy ads at the bottom of the screen. Like get this, they still let you enjoy a full gaming experience while the ads are displayed. Ugh! One star! Terrible!",Yes,Irony,
I am disappointed. The game does not have ads. Ads are the whole point of games. They are what stops you in the middle of a game. Ads are enjoyable to watch. Ads are awesome. Another bad thing about this horrible app is its gameplay. It was tremendously hard! I want to win a game instantly. WORST APP EVER! If I could give this trash 0 stars I definitely would.,Yes,Humor,
"I would rate this 0 stars if I could! I has no ads! How can I enjoy something if it has no ads! It also has an enjoyable game, which sucks because I like it! I hate liking things! I also hate how it has one of the most creative goals. That doesn't irritate me, which irritates me, because I like being irritated, but not in this scenario! 1 star!!!",Yes,Humor,
"One star, it was boring and you don't expect much from it, except being the worst game ever. Game needed more features, at least add more mods to keep it interestingly longer. It also needs to change that sound effect when you get a right answer, I felt like I was bar-code scanning items in a grocery store.",Yes,Self-Deprecation,
"Awful, this app is horrible. it didnt have ANY ads, which is basically the point of games. You really have to work and think to get score, which I think ruins all games, as I like things to be handed to me from the start. I don't recomend this app to anyone. I cant believe anyone could even possible make such a bad game.",Yes,Irony,
"What I think about this game is that it really needs a lot of improvements especially in the style, gameplay and game design. There are no enjoyable moment within the game. It is so plain and the colors of the shape are eye straining. It could be improved with the design of how the shapes float and with the interactivity of the buttons, maybe a more pleasing style for the eye. It needs more challenges, difficulties, and maybe another level for the players to enioy. And also a pause button.",Yes,Humor,
"The only good thing I can say about this game is that the challenge was enjoyable, otherwise, it was painful. The interface does not help in giving cues on what it is about and uses eye straining colors. There are no instructions. Gameplay-wise it similar it is to rhythm-based games. Flow of incoming blocks vary in speed and difficulty becomes a headache to catch up to. Overall, despite its flaws, it was fun to play. Would recommend to other people to suffer like I did. (this is for school btw)",Yes,Humor,
